"job_role","industry","country","year","automation_risk_percent","ai_replacement_score","skill_gap_index","salary_before_usd","salary_change_percent","skill_demand_growth_percent","remote_feasibility_score","ai_adoption_level","education_requirement_level","reskilling_urgency_score","year_category","risk_bracket"
"Mechanical Engineer","Manufacturing","Germany",2021,46.55,49.55,90.83,125127.65,3.88,10.88,23.31,58.89,"4",47.033,"Past","Medium Risk"
"Software Engineer","Healthcare","Brazil",2026,41.13,45.65,81.34,110878.31,9.65,17.34,23.59,68.46,"5",43.749,"Future","Medium Risk"
"Marketing Specialist","Transportation","Singapore",2023,42.98,51.19,70.88,74895.87,-1.5,7.28,52.07,6.36,"5",38.906,"Present","Medium Risk"
"Teacher","Education","Brazil",2026,54.01,55.27,50.45,54799.21,-31.3,0.71,11.97,16.24,"3",46.129,"Future","Medium Risk"
"Customer Support Rep","Finance","India",2023,88.13,98.32,11.99,146726.55,16.38,2.73,58.76,76.43,"2",43.763,"Present","High Risk"
"Data Analyst","Technology","Singapore",2022,46.37,38.3,91.36,122212.14,-6.98,-2.1,71.8,70.09,"1",48.05,"Past","Medium Risk"
"HR Manager","Retail","Japan",2021,16.09,18.7,74.69,148084.38,-8.29,3.65,91.51,81.29,"5",31.33,"Past","Low Risk"
"Teacher","Education","Canada",2025,10.02,10.14,0.75,72180.23,3.83,13.15,86.56,55.72,"2",5.382,"Future","Low Risk"
"Data Analyst","Technology","Australia",2022,54.19,53.89,50.28,101758.9,3.75,-4.4,87.01,15.95,"4",37.885,"Past","Medium Risk"
"Truck Driver","Finance","USA",2021,51.38,60.02,31.14,135024.04,10.09,9.15,22.85,78.7,"1",32.921,"Past","Medium Risk"
"Accountant","Energy","Australia",2024,12.08,11.57,27.98,106938.37,-7.06,17.07,85.34,55.17,"4",15.344,"Present","Low Risk"
"Software Engineer","Education","Brazil",2023,52.71,57.45,13.84,117774.89,0.75,-7.48,15.3,36.61,"5",25.461,"Present","Medium Risk"
"Truck Driver","Manufacturing","Australia",2026,83.76,70.39,13.99,44308.84,-18.61,9.26,83.47,58.22,"5",43.284,"Future","High Risk"
"HR Manager","Manufacturing","Canada",2021,56.9,52.52,49.18,74480.31,19.76,4.71,50.57,6.67,"2",43.442,"Past","Medium Risk"
"Data Analyst","Retail","Canada",2026,25.96,29.99,82.32,129950.07,5.49,15.36,55.74,68.72,"3",36.727,"Future","Low Risk"
"Accountant","Finance","UK",2022,75.16,64.01,16.95,100783.99,9.45,18.61,32.85,62.22,"5",37.984,"Past","High Risk"
"Teacher","Technology","Singapore",2021,49.22,39.85,62.24,84135.09,4.1,14.32,59.21,89.55,"1",39.59,"Past","Medium Risk"
"Marketing Specialist","Finance","Brazil",2020,56.47,50.84,46.76,110693.21,-5.67,13.39,75.39,68.28,"3",38.317,"Past","Medium Risk"
"Software Engineer","Finance","Australia",2020,10.3,8.87,50.17,79337.93,-5.64,-17.07,17.47,13.82,"3",20.863,"Past","Low Risk"
"Data Analyst","Retail","USA",2022,36.78,39.71,84.45,133500.95,-17.83,8.77,62.16,62.3,"1",45.396,"Past","Medium Risk"
"Financial Analyst","Education","USA",2025,30.08,32.1,17.42,65497.63,0.18,12.75,23.55,66.84,"1",17.312,"Future","Low Risk"
"Customer Support Rep","Retail","Japan",2025,41.08,33.44,87.19,82130.48,5.11,9,61.62,9.69,"3",44.122,"Future","Medium Risk"
"Accountant","Transportation","Germany",2026,32.42,29.21,60.42,79303.26,17.69,-5.04,12.87,13.23,"4",36.401,"Future","Low Risk"
"HR Manager","Finance","UK",2021,72.2,81.9,94.11,55166.85,-7.76,1.82,67.63,78.15,"4",59.441,"Past","High Risk"
"HR Manager","Energy","UK",2022,53.25,55.3,80.25,40595.4,4.84,7.98,68.14,68.4,"3",46.827,"Past","Medium Risk"
"Customer Support Rep","Healthcare","Canada",2022,70.02,79.09,39.68,132975.73,-5.67,1.61,15.54,9.84,"2",41.613,"Past","High Risk"
"Marketing Specialist","Transportation","USA",2026,41.94,43.54,63.56,97745.84,3.97,1.82,28.98,82.57,"3",37.035,"Future","Medium Risk"
"Accountant","Retail","USA",2024,59.99,56.52,42.2,127646.06,-4.88,7.16,17.28,45.1,"1",38.12,"Present","Medium Risk"
"Truck Driver","Retail","Canada",2021,26.29,30.6,38.63,75745.98,-12.01,-5.4,18.4,60.74,"3",25.708,"Past","Low Risk"
"Customer Support Rep","Transportation","Brazil",2025,42.74,40.12,33.61,70754.69,-0.8,15.42,55.9,78.4,"3",27.419,"Future","Medium Risk"
"Accountant","Energy","Singapore",2024,31.55,34.84,18.05,115002.21,4.35,-3.2,52.2,6.53,"2",19.34,"Present","Low Risk"
"Software Engineer","Finance","Brazil",2025,42.07,45.29,20.21,142234.13,-7.3,-5.54,76.24,20.03,"5",25.081,"Future","Medium Risk"
"Data Analyst","Healthcare","UK",2022,64.49,68.13,74.88,44276.75,2.71,17.65,79.26,7.16,"4",49.073,"Past","Medium Risk"
"Teacher","Finance","Canada",2021,52.59,56.58,49.47,130235.86,-6.99,4.69,18.02,22.77,"5",37.974,"Past","Medium Risk"
"Software Engineer","Energy","USA",2021,5,4.94,37.03,35486.48,8.02,-3.65,82.67,0.4,"1",15.515,"Past","Low Risk"
"Marketing Specialist","Energy","USA",2024,17.45,20.92,64.88,112184.51,0.87,-18.83,55.7,34.79,"4",26.705,"Present","Low Risk"
"Customer Support Rep","Education","India",2026,73.28,75.41,94.37,30817.99,-4.05,-0.14,14.55,23.51,"3",58.838,"Future","High Risk"
"Marketing Specialist","Finance","India",2023,54.75,48.55,85.21,139747.15,0.07,0.23,11.41,61.93,"3",47.484,"Present","Medium Risk"
"Customer Support Rep","Manufacturing","India",2023,49.32,56.15,91.75,89816.64,-2.64,-2.41,40.64,30.36,"1",48.045,"Present","Medium Risk"
"Accountant","Education","Germany",2021,65.82,60.58,37.92,40292.35,-10.29,5.54,88.22,79.84,"4",40.791,"Past","Medium Risk"
"Marketing Specialist","Energy","USA",2024,31.16,24.98,7.15,56155.09,17.56,4.86,18.9,70.83,"4",19.877,"Present","Low Risk"
"Software Engineer","Retail","Germany",2023,38.27,40.1,92.78,144351.72,8.84,15.89,78.65,67.3,"4",45.794,"Present","Medium Risk"
"Mechanical Engineer","Energy","UK",2026,10.72,12.85,63.69,88640.62,-15.46,2.25,52.93,73.35,"3",28.033,"Future","Low Risk"
"Customer Support Rep","Energy","India",2023,42.8,48.71,21.07,133003.96,11.69,7.91,47.53,32.13,"2",26.948,"Present","Medium Risk"
"Software Engineer","Finance","Australia",2021,48.83,46.16,95.28,118861.83,-12.41,2.32,60.09,59.57,"2",51.839,"Past","Medium Risk"
"Customer Support Rep","Technology","USA",2021,92.81,101.86,25.37,61428.03,-9.81,7.06,72.59,7.92,"2",47.678,"Past","High Risk"
"Mechanical Engineer","Transportation","Singapore",2022,50.13,59.81,87.29,131320.42,1.48,5.86,93.69,16.22,"4",46.683,"Past","Medium Risk"
"HR Manager","Finance","Germany",2021,26,30.41,27.47,75567.25,0.54,-2.82,29.76,2.75,"1",18.803,"Past","Low Risk"
"Data Analyst","Education","India",2024,20.29,21.62,8.92,132158.3,-3.57,6.55,46.35,80.87,"4",11.863,"Present","Low Risk"
"Financial Analyst","Manufacturing","Canada",2024,75.24,79.12,68.11,135203.97,18.08,1.03,61.99,69.5,"3",55.953,"Present","High Risk"
"Accountant","Healthcare","Singapore",2025,71.77,80.09,12.74,141839,9.38,-2.19,11.33,22.06,"4",35.344,"Future","High Risk"
"Customer Support Rep","Finance","Australia",2022,30.6,33.69,19.4,141317.5,16.03,-1.5,84.24,95.31,"2",22.869,"Past","Low Risk"
"Software Engineer","Technology","Germany",2025,32.32,34.53,36.43,64025.31,-8.5,21.58,61.52,19.86,"3",26.407,"Future","Low Risk"
"Marketing Specialist","Finance","Germany",2020,60.03,71.3,53.78,92404.19,-1.1,6.12,45.41,17.37,"3",40.476,"Past","Medium Risk"
"Teacher","Education","Germany",2026,48.25,50.49,91.39,129706.18,12.15,11.48,66.58,57.09,"4",50.362,"Future","Medium Risk"
"Teacher","Energy","India",2021,13.34,10.8,85.22,63832.82,-6.91,-15.36,13.82,96.16,"4",32.975,"Past","Low Risk"
"HR Manager","Transportation","Germany",2022,17.21,20.43,70.79,143167.91,-0.75,-1.39,95.75,64.64,"1",28.346,"Past","Low Risk"
"HR Manager","Education","UK",2021,48.28,51.59,18.63,119513.77,-9.55,-4.81,63.77,2.11,"5",27.766,"Past","Medium Risk"
"Accountant","Manufacturing","UK",2022,13.78,11.11,76.68,33229.31,2.16,-3.18,52.74,36.6,"2",29.164,"Past","Low Risk"
"HR Manager","Education","UK",2026,34.89,39.91,7.79,141135.8,-0.74,-10.94,96.13,63.88,"5",16.515,"Future","Medium Risk"
"Truck Driver","Manufacturing","Canada",2024,42.59,50.81,81.45,67693.3,11.99,26.16,65.5,12.24,"4",45.068,"Present","Medium Risk"
"Mechanical Engineer","Energy","Japan",2022,55.18,48.87,31.93,95447.48,2.72,3.01,47.58,16.55,"5",32.467,"Past","Medium Risk"
"Customer Support Rep","Manufacturing","Australia",2021,29.26,32.55,82.83,39600.98,20.62,10.73,91.74,4.83,"1",42.739,"Past","Low Risk"
"Marketing Specialist","Energy","USA",2025,34.33,29.1,42.86,74659.36,16.84,14.17,96.81,16.29,"4",31.642,"Future","Medium Risk"
"HR Manager","Technology","Singapore",2022,65.95,75.07,56.51,124534.23,-2.83,4.08,23.56,16.74,"1",44.182,"Past","Medium Risk"
"Accountant","Manufacturing","India",2022,71.28,84.33,40.26,108758.13,-5.05,-13.25,65.86,85.62,"3",42.105,"Past","High Risk"
"Software Engineer","Healthcare","Canada",2022,29.87,32.25,24.87,69430.69,4.56,1.5,20.66,77,"4",20.777,"Past","Low Risk"
"Financial Analyst","Manufacturing","USA",2023,54.23,57.48,87.69,93697,-1.32,4.54,57.98,35.84,"3",48.395,"Present","Medium Risk"
"Software Engineer","Finance","Singapore",2021,63.82,64.1,5.34,58567.83,7.14,-2.49,15.93,32.55,"2",29.272,"Past","Medium Risk"
"Truck Driver","Technology","Germany",2025,71.95,75.22,64.76,97123.68,5.24,-4.75,95.59,4.11,"3",49.78,"Future","High Risk"
"Marketing Specialist","Finance","Canada",2020,35.33,32.38,14.81,61729.71,0.54,3.19,65.12,50.34,"1",18.737,"Past","Medium Risk"
"Mechanical Engineer","Healthcare","Singapore",2024,31.98,38.07,61.92,136484.88,10.62,-3.07,10.53,67.68,"4",34.554,"Present","Low Risk"
"Customer Support Rep","Transportation","Canada",2021,77.37,70.25,99.81,89791.54,-11.43,0.26,23.99,20.66,"4",64.32,"Past","High Risk"
"Accountant","Finance","UK",2026,47.53,48.23,53.05,133142.01,-5.87,-5.35,83.14,58.39,"4",36.688,"Future","Medium Risk"
"HR Manager","Education","Canada",2021,48.9,57.21,48.73,143641.22,-2.78,-5.14,84.01,15.03,"4",35.013,"Past","Medium Risk"
"Truck Driver","Transportation","Brazil",2025,37.29,35.53,92.87,51833.44,1.15,8.04,52.41,1.77,"4",43.122,"Future","Medium Risk"
"Marketing Specialist","Transportation","Japan",2025,46.73,45.15,79.08,97107.89,-2.13,12.34,55.67,85.32,"3",43.055,"Future","Medium Risk"
"Teacher","Energy","UK",2023,57.94,68.28,98.47,106985.17,-15.99,8.87,34.79,25.38,"5",57.514,"Present","Medium Risk"
"Financial Analyst","Transportation","Germany",2020,64.94,67.93,73.58,127948.72,3.38,13.69,92.62,92.87,"1",49.064,"Past","Medium Risk"
"Customer Support Rep","Manufacturing","Germany",2021,54.86,59.57,82.59,60898.68,-17.05,4.01,17.96,69.8,"4",51.836,"Past","Medium Risk"
"Marketing Specialist","Healthcare","India",2026,50.06,48.06,21.26,52736.87,13.28,-24.53,61.09,54.6,"4",30.386,"Future","Medium Risk"
"Software Engineer","Healthcare","Singapore",2025,21.96,18.99,71.18,139506.84,9.85,9.98,56.92,50.51,"4",33.093,"Future","Low Risk"
"Data Analyst","Transportation","India",2022,68.98,82.63,60.87,74505.39,14.79,-5.98,30.19,98.02,"5",50.29,"Past","High Risk"
"HR Manager","Finance","Brazil",2022,59.91,51.79,36.42,56843.31,2.39,-1.84,19.4,39.62,"1",35.607,"Past","Medium Risk"
"HR Manager","Energy","Australia",2023,56.87,49.16,88.41,52191.85,7.04,6.84,18.58,10.5,"1",51.383,"Present","Medium Risk"
"Teacher","Technology","Germany",2024,18.8,17.73,67.16,94635.51,8.8,-10.05,50.18,35.26,"3",30.308,"Present","Low Risk"
"Marketing Specialist","Education","UK",2023,36.77,34.7,51.18,75629.25,-11.58,-6.68,29.71,20.98,"1",33.536,"Present","Medium Risk"
"Teacher","Healthcare","UK",2024,30.02,35.7,20.42,83350.04,9.85,7.79,25.08,81.27,"4",21.089,"Present","Low Risk"
"Marketing Specialist","Education","Singapore",2020,55.23,62.32,7.09,38516.66,1.9,14.98,57.56,25.51,"3",24.789,"Past","Medium Risk"
"Data Analyst","Technology","Singapore",2023,14.83,13.26,73.01,106082.77,12.72,5.07,15.34,3.62,"1",31.651,"Present","Low Risk"
"Mechanical Engineer","Healthcare","Germany",2021,67.45,65.19,66.55,78506.33,-3.86,4.5,57.74,3.54,"3",48.103,"Past","High Risk"
"Truck Driver","Technology","Brazil",2024,49.6,42.39,21.78,138899.9,-24.89,29.74,44.83,65.34,"3",33.841,"Present","Medium Risk"
"Software Engineer","Transportation","USA",2021,12.77,10.6,97.98,128544.35,-6.22,3.28,96.15,5.14,"1",36.368,"Past","Low Risk"
"Customer Support Rep","Retail","Japan",2025,25.18,23.06,74.53,131420.23,-10.99,28.42,11.34,34.8,"1",35.728,"Future","Low Risk"
"Data Analyst","Healthcare","USA",2021,5.87,5.21,6.85,137604.71,-3.97,23.05,93.79,20.85,"4",5.594,"Past","Low Risk"
"Customer Support Rep","Technology","UK",2021,91.75,76.13,79.97,69441.3,3.76,-3.56,67.19,93.42,"5",61.819,"Past","High Risk"
"Mechanical Engineer","Education","India",2025,29.33,32.45,92.15,84754,-18.28,-6.54,98.54,60.83,"2",44.861,"Future","Low Risk"
"Marketing Specialist","Healthcare","USA",2023,74.57,73.06,88.22,85503.71,3.23,-6.18,88.25,3.43,"2",57.263,"Present","High Risk"
"Accountant","Manufacturing","USA",2026,29.85,35.18,27.02,77803.72,-11.8,-3.48,45.29,85.18,"2",23.586,"Future","Low Risk"
"Customer Support Rep","Education","Brazil",2021,48.1,52.01,24.59,51716.2,-2.91,7.4,79.61,63.65,"2",27.49,"Past","Medium Risk"
"Customer Support Rep","Education","India",2020,62.54,61.55,53.54,45029.03,9.61,11.42,72.06,70.87,"1",43.961,"Past","Medium Risk"
"Customer Support Rep","Energy","Japan",2026,85.45,92.35,35.05,58720.53,-9.74,-18.7,34.55,29.37,"2",47.617,"Future","High Risk"
"Financial Analyst","Energy","UK",2023,59.69,52.7,76.75,60878.72,-15.67,-1.53,83.94,39.41,"5",51.602,"Present","Medium Risk"
"Truck Driver","Transportation","Japan",2024,93.5,97.27,1.67,127816.89,-10.97,13.51,34.17,49.22,"2",41.192,"Present","High Risk"
"Customer Support Rep","Transportation","USA",2025,71.65,83.1,16.63,50079.14,-10.7,16.59,30.44,68.75,"5",36.859,"Future","High Risk"
"HR Manager","Healthcare","UK",2024,14.23,14.41,64.06,76164.72,-3.54,-3.41,48.81,16.11,"4",25.972,"Present","Low Risk"
"Teacher","Education","India",2022,44.19,41.34,90,37716.05,12.11,14.27,64.8,52.18,"3",48.309,"Past","Medium Risk"
"HR Manager","Transportation","Australia",2023,18.07,18.85,56.66,139539.41,0.4,7.96,92.44,14.92,"3",24.346,"Present","Low Risk"
"Customer Support Rep","Technology","Singapore",2021,73.75,72.52,13.41,32726.41,-16.28,13.16,95.83,63.26,"1",38.407,"Past","High Risk"
"Teacher","Finance","Canada",2025,63.46,61.78,26.72,122083.58,11.2,8,35.91,42.69,"5",36.76,"Future","Medium Risk"
"HR Manager","Finance","Brazil",2025,26.84,29.8,75.72,101121.63,-8.11,18.45,89.03,92.23,"4",35.885,"Future","Low Risk"
"Accountant","Technology","UK",2026,56.48,53.61,84.18,147671.82,18.21,14,86.56,67.27,"5",53.309,"Future","Medium Risk"
"Financial Analyst","Finance","India",2021,23.78,23.05,61.2,85653.3,-11.64,14.59,24.29,2.84,"1",31.364,"Past","Low Risk"
"Software Engineer","Retail","Germany",2025,5,4.71,2.18,62602.08,16.89,5.93,63,53.46,"2",7.721,"Future","Low Risk"
"Marketing Specialist","Finance","Canada",2020,26.95,21.73,12.98,147818.92,-2.09,9.74,38.89,89.13,"5",15.301,"Past","Low Risk"
"Financial Analyst","Finance","India",2025,15.5,13.46,11.79,134510.15,4.92,16.28,60.69,92.29,"4",11.213,"Future","Low Risk"
"Marketing Specialist","Transportation","Germany",2021,43.84,43.25,42.08,108268.54,11.68,-7.26,73.33,21.15,"1",33.664,"Past","Medium Risk"
"Mechanical Engineer","Technology","Japan",2026,51.65,56.33,96.12,142668.44,3.57,-8.61,52.24,34.92,"3",50.567,"Future","Medium Risk"
"Marketing Specialist","Education","USA",2026,33.95,40.35,3.66,132304.37,22.11,-10.42,76.53,45.64,"3",21.311,"Future","Medium Risk"
"HR Manager","Manufacturing","UK",2023,79.11,90.75,21.34,110451.01,-22.15,1.07,41.65,16.28,"1",44.691,"Present","High Risk"
"Marketing Specialist","Healthcare","Brazil",2025,42.04,43.64,79.83,64653.07,2.94,19.99,33.22,78.7,"1",41.647,"Future","Medium Risk"
"Accountant","Retail","Canada",2026,52.2,61.7,28.84,146775.85,-17.6,26.62,88.75,15.79,"1",34.812,"Future","Medium Risk"
"Teacher","Finance","Singapore",2024,42.34,36,61.32,35098.93,1.93,10.79,84.05,35.81,"2",35.911,"Present","Medium Risk"
"Teacher","Healthcare","Canada",2026,27.08,23.54,53.12,61988.5,15.2,2.52,46.94,64.51,"1",31.328,"Future","Low Risk"
"Financial Analyst","Education","India",2025,54.75,51.77,11.42,81962.73,2.63,8.33,43.43,86.73,"4",26.115,"Future","Medium Risk"
"Customer Support Rep","Healthcare","Germany",2024,55.71,48.94,86.4,89236.67,-15.09,1.23,78.81,55.02,"1",52.731,"Present","Medium Risk"
"Customer Support Rep","Energy","USA",2025,39.51,35.71,38.25,94118.96,-5.67,10.91,76.47,91.62,"3",28.98,"Future","Medium Risk"
"Truck Driver","Retail","India",2020,52.7,49.87,47.77,128052.31,-2.18,-2.9,12.64,51.78,"2",36.065,"Past","Medium Risk"
"Truck Driver","Transportation","UK",2021,91.09,78.71,25.54,113868.4,8.35,21.44,31.75,6.66,"4",46.603,"Past","High Risk"
"Mechanical Engineer","Retail","India",2025,25.56,26.98,29.62,131006.9,-5.23,6.35,17.94,28.06,"3",20.679,"Future","Low Risk"
"Accountant","Education","Brazil",2021,50.15,58.91,10.32,129679.99,-19.12,15.23,67.87,78.5,"5",28.892,"Past","Medium Risk"
"Mechanical Engineer","Finance","Singapore",2021,35.11,41,55.09,48828.95,15.48,7.73,62.79,58.41,"3",35.215,"Past","Medium Risk"
"Truck Driver","Finance","India",2023,26.94,26.55,36.56,35254.57,-9.74,10.57,41.49,57.76,"3",24.666,"Present","Low Risk"
"HR Manager","Transportation","Singapore",2026,40.82,44.11,84.48,50309.52,-8.38,-0.91,54.93,7.93,"5",44.186,"Future","Medium Risk"
"HR Manager","Energy","India",2026,61.89,52.68,94.68,130844.45,-13.16,9.44,90.53,13.69,"2",57.108,"Future","Medium Risk"
"Accountant","Technology","India",2026,58.18,53.29,37.38,95753.44,8.42,-21.1,71.17,29.62,"1",37.012,"Future","Medium Risk"
"Accountant","Finance","Australia",2024,61.72,59.67,2.18,131597.66,7.08,0.71,77.01,40.67,"3",27.466,"Present","Medium Risk"
"Data Analyst","Finance","Brazil",2022,45.52,54.48,30.75,84052.3,-9.28,6.23,63.78,46.79,"5",30.217,"Past","Medium Risk"
"Data Analyst","Finance","USA",2020,21.52,17.37,21.64,54716.51,-9.85,13.81,98.07,18.4,"3",18.055,"Past","Low Risk"
"Teacher","Technology","UK",2021,72.52,68.61,99.94,126453.42,11.55,8.63,90.71,99.76,"3",62.455,"Past","High Risk"
"Customer Support Rep","Education","Singapore",2024,36.91,38.17,38.68,76254.82,0.72,28.04,82.95,32.83,"2",26.584,"Present","Medium Risk"
"Financial Analyst","Technology","India",2026,47.1,55.87,9.05,62220.98,-4.49,11.05,39.2,85.63,"3",22.902,"Future","Medium Risk"
"Software Engineer","Finance","UK",2025,10.5,9.39,71.19,118924.76,14.76,-3.12,74.33,41.98,"2",29.985,"Future","Low Risk"
"Mechanical Engineer","Transportation","Germany",2026,34.41,37.2,94.9,125135.1,-8.95,7.53,40.32,72.41,"1",44.919,"Future","Medium Risk"
"Teacher","Energy","Singapore",2023,70.89,71.72,13.77,44826.23,-2.03,4.24,47.67,77.71,"1",33.096,"Present","High Risk"
"Accountant","Energy","India",2023,42.27,47.86,65.73,53197.57,-6.16,-6.71,58.42,67.83,"5",38.475,"Present","Medium Risk"
"Marketing Specialist","Healthcare","Japan",2024,22.12,19.05,1.24,43542.36,15.31,21.05,99.33,67.76,"5",13.813,"Present","Low Risk"
"Financial Analyst","Retail","Japan",2024,58.95,49.27,87.63,68402.07,-3.54,-14.32,73.69,29.44,"4",50.931,"Present","Medium Risk"
"Data Analyst","Finance","Germany",2026,54.43,48.89,12.27,113603.15,-1.55,-1.25,35.86,45.47,"5",25.918,"Future","Medium Risk"
"Customer Support Rep","Retail","Japan",2025,28.53,27.51,96.09,98033.89,6.21,-0.67,45.76,6.38,"4",42.102,"Future","Low Risk"
"Software Engineer","Education","India",2020,24.67,27.77,22.1,69185.32,5.08,2.09,36.48,24.03,"3",18.022,"Past","Low Risk"
"Truck Driver","Manufacturing","USA",2025,89.9,107.87,59.36,142175.13,-6.69,10.74,71.55,79.01,"5",55.775,"Future","High Risk"
"Software Engineer","Healthcare","Brazil",2021,52.01,52.63,51.52,128620.78,10.09,11.51,28.67,96.64,"1",39.287,"Past","Medium Risk"
"Customer Support Rep","Finance","India",2025,76.3,73.93,59.92,106774.81,6.3,14.46,86,39.48,"3",50.386,"Future","High Risk"
"Financial Analyst","Healthcare","Canada",2025,39.49,34.57,51.57,78186.86,10.3,21.49,87.17,16.83,"1",34.357,"Future","Medium Risk"
"HR Manager","Manufacturing","USA",2022,74.08,65.8,72.07,89789.07,3.32,23.54,68.72,75.2,"3",52.249,"Past","High Risk"
"HR Manager","Transportation","Japan",2024,23.52,22.04,86.72,130333.34,-11.64,15.83,28.56,4.85,"5",38.916,"Present","Low Risk"
"HR Manager","Healthcare","Australia",2024,75.38,79.48,41.31,112814.73,-20.83,-0.86,55.1,73.66,"4",48.794,"Present","High Risk"
"Customer Support Rep","Retail","USA",2026,83.64,70.24,6.49,70834.83,-0.06,-0.71,84.16,34.77,"1",35.421,"Future","High Risk"
"Data Analyst","Energy","Singapore",2024,33.31,34.3,91.37,141195.68,-5.36,-0.58,63.91,70.76,"5",42.343,"Present","Medium Risk"
"Customer Support Rep","Manufacturing","Canada",2022,31.23,28.6,50.71,122564.14,-0.39,-16.61,54.65,92.68,"1",27.822,"Past","Low Risk"
"Software Engineer","Retail","India",2024,59.17,67.64,16.66,138099.17,9.4,-17.33,65.29,43.02,"3",31.486,"Present","Medium Risk"
"Data Analyst","Finance","Germany",2025,24.03,21.61,51.36,130515.89,0.59,20.91,40.85,1.27,"1",25.197,"Future","Low Risk"
"Customer Support Rep","Technology","Japan",2026,39.54,34.59,58.83,140491.35,10.28,-1.45,39.68,96.42,"4",36.549,"Future","Medium Risk"
"Teacher","Finance","Japan",2020,23.64,22.76,14.94,57146.69,12.53,10.67,17.29,22.13,"4",17.697,"Past","Low Risk"
"Data Analyst","Transportation","Singapore",2024,22.48,26.4,59.8,42872.63,14.18,-3.58,98.04,73.84,"3",31.186,"Present","Low Risk"
"Teacher","Retail","Brazil",2025,22.68,25.58,0.33,87886.94,4.5,3.44,14.13,25.56,"2",10.521,"Future","Low Risk"
"Software Engineer","Energy","UK",2024,18.19,17.63,92.33,108314.51,0.63,4.27,66.69,1.62,"3",35.164,"Present","Low Risk"
"Financial Analyst","Finance","Brazil",2020,74.3,60.85,60.99,102100.55,10.72,8.35,21.13,53.47,"5",51.233,"Past","High Risk"
"Teacher","Transportation","UK",2021,50.15,48.1,52.81,90113.28,-5.84,9.27,12.66,93.15,"3",37.655,"Past","Medium Risk"
"HR Manager","Retail","USA",2022,31.96,35.68,31.97,30473.27,-2.7,3.06,84.05,17.08,"3",23.185,"Past","Low Risk"
"Truck Driver","Healthcare","Canada",2023,94.56,98.82,32.29,90572.19,1.1,8.74,77.83,49.37,"4",47.841,"Present","High Risk"
"Accountant","Finance","Germany",2026,47.29,56.45,60.45,95030.65,-1.43,15.54,52.63,71.02,"5",37.48,"Future","Medium Risk"
"Teacher","Manufacturing","Singapore",2021,21.19,18.05,61.83,52014.19,13.47,2.15,37.9,74.23,"1",31.066,"Past","Low Risk"
"Marketing Specialist","Finance","Singapore",2020,32.95,26.88,9.16,82064.06,-3.35,-14.67,57.08,94.27,"3",16.933,"Past","Low Risk"
"Marketing Specialist","Retail","India",2023,43.05,49.21,85.07,136492.99,-17.98,8.19,80.76,32.27,"2",48.135,"Present","Medium Risk"
"Customer Support Rep","Finance","USA",2020,87.7,73.84,67.82,87753.92,-8.94,7.46,97.42,71.44,"4",58.108,"Past","High Risk"
"Software Engineer","Transportation","Singapore",2026,19.96,23.06,45.28,52326.94,-18.19,-1.98,73.76,2.13,"5",27.025,"Future","Low Risk"
"Teacher","Manufacturing","Japan",2021,71.61,69.67,11.29,122143.93,-4.66,-0.51,98.89,20.27,"1",33.429,"Past","High Risk"
"Financial Analyst","Education","Brazil",2024,31.12,32.65,29.14,75763.96,5.86,20.14,82.91,77.55,"2",22.948,"Present","Low Risk"
"Mechanical Engineer","Retail","USA",2026,65.95,57.45,25.69,51908.5,-0.38,5.42,93.85,95.75,"3",34.201,"Future","Medium Risk"
"Truck Driver","Technology","Australia",2025,65.66,70.05,18.66,148097.11,1.16,22.09,55.09,61.8,"4",32.21,"Future","Medium Risk"
"Data Analyst","Healthcare","Singapore",2022,13.03,13.54,6.99,102575.48,-18.86,14.9,18.12,55.01,"4",12.967,"Past","Low Risk"
"Mechanical Engineer","Transportation","Canada",2020,40.62,37.58,42.8,37310.85,-17.43,9.29,31.16,63.05,"4",34.317,"Past","Medium Risk"
"Mechanical Engineer","Transportation","Singapore",2023,51.78,48.43,93.72,77781.22,1.1,4.12,73.19,74.89,"4",49.158,"Present","Medium Risk"
"Data Analyst","Education","Japan",2026,59.43,66.47,84.78,57319.54,15.53,15.24,36.34,99.43,"1",53.865,"Future","Medium Risk"
"Data Analyst","Finance","UK",2020,56.51,65.88,15.21,34526.9,-18.72,9.52,82.5,64.41,"4",32.783,"Past","Medium Risk"
"Software Engineer","Finance","Brazil",2025,43.34,48.5,46.92,49411.63,-7.94,-6.66,83.81,97.22,"1",33.794,"Future","Medium Risk"
"Mechanical Engineer","Manufacturing","Australia",2024,64.28,52.77,40.83,123129.38,19.89,1.15,13.27,21.16,"4",43.928,"Present","Medium Risk"
"Truck Driver","Healthcare","Singapore",2021,78.13,68.53,97.12,74004.54,-5.39,-0.39,25.76,34.74,"3",62.005,"Past","High Risk"
"Mechanical Engineer","Healthcare","Australia",2023,50.71,58.48,93.35,101984.78,3.57,27.64,40.3,53.4,"4",49.36,"Present","Medium Risk"
"Data Analyst","Education","USA",2025,11.58,10.76,19.95,130778.88,5.01,-1.84,15.97,65.97,"2",12.12,"Future","Low Risk"
"Customer Support Rep","Education","Brazil",2025,78.59,66.04,77.2,100311.27,11.31,14.43,24.69,79.79,"3",57.989,"Future","High Risk"
"Financial Analyst","Technology","Brazil",2023,64.73,68.53,50.47,131988.83,-3.44,12.92,57.96,44.98,"1",42.065,"Present","Medium Risk"
